species	dateversion	value	dataset	version	date	ucscId	speciesShort	speciesLong
Ailuropoda melanoleuca (Panda)	Dec.2014v78	ailMel1	amelanoleuca_gene_ensembl	78	Dec.2014	ailMel1	Panda	Ailuropoda melanoleuca
Anas platyrhynchos (Duck)	Dec.2014v78	BGI_duck_1.0	aplatyrhynchos_gene_ensembl	78	Dec.2014	anaPlat1	Duck	Anas platyrhynchos
Anolis carolinensis (Anole lizard)	May.2009v54	AnoCar1.0	acarolinensis_gene_ensembl	54	May.2009	anoCar1	Anole lizard	Anolis carolinensis
Anolis carolinensis (Anole lizard)	Dec.2014v78	AnoCar2.0	acarolinensis_gene_ensembl	78	Dec.2014	anoCar2	Anole lizard	Anolis carolinensis
Astyanax mexicanus (Cave fish)	Dec.2014v78	AstMex102	amexicanus_gene_ensembl	78	Dec.2014	astMex1	Cave fish	Astyanax mexicanus
Bos taurus (Cow)	May.2009v54	Btau_4.0	btaurus_gene_ensembl	54	May.2009	bosTau4	Cow	Bos taurus
Bos taurus (Cow)	Dec.2014v78	UMD3.1	btaurus_gene_ensembl	78	Dec.2014	bosTau6	Cow	Bos taurus
Caenorhabditis elegans	May.2009v54	WS190	celegans_gene_ensembl	54	May.2009	ce6	Caenorhabditis elegans	Caenorhabditis elegans
Caenorhabditis elegans	Aug.2010v59	WS210	celegans_gene_ensembl	59	Aug.2010	ce9	Caenorhabditis elegans	Caenorhabditis elegans
Caenorhabditis elegans	Oct.2012v69	WBcel215	celegans_gene_ensembl	69	Oct.2012	ce8	Caenorhabditis elegans	Caenorhabditis elegans
Caenorhabditis elegans	Dec.2014v78	WBcel235	celegans_gene_ensembl	78	Dec.2014	ce10	Caenorhabditis elegans	Caenorhabditis elegans
Callithrix jacchus (Marmoset)	Dec.2014v78	C_jacchus3.2.1	cjacchus_gene_ensembl	78	Dec.2014	calJac3	Marmoset	Callithrix jacchus
Canis familiaris (Dog)	Feb.2012v66	CanFam_2.0	cfamiliaris_gene_ensembl	66	Feb.2012	canFam2	Dog	Canis familiaris
Canis familiaris (Dog)	Dec.2014v78	CanFam3.1	cfamiliaris_gene_ensembl	78	Dec.2014	canFam3	Dog	Canis familiaris
Cavia porcellus (Guinea Pig)	Dec.2014v78	cavPor3	cporcellus_gene_ensembl	78	Dec.2014	cavPor3	Guinea Pig	Cavia porcellus
Chlorocebus sabaeus (Vervet-AGM)	Dec.2014v78	ChlSab1.1	csabaeus_gene_ensembl	78	Dec.2014	chlSab1	Vervet-AGM	Chlorocebus sabaeus
Choloepus hoffmanni (Sloth)	Dec.2014v78	choHof1	choffmanni_gene_ensembl	78	Dec.2014	choHof1	Sloth	Choloepus hoffmanni
Ciona intestinalis	Dec.2014v78	KH	cintestinalis_gene_ensembl	78	Dec.2014	ci2	Ciona intestinalis	Ciona intestinalis
Ciona savignyi	Dec.2014v78	CSAV2.0	csavignyi_gene_ensembl	78	Dec.2014	cioSav2	Ciona savignyi	Ciona savignyi
Danio rerio (Zebrafish)	May.2009v54	Zv8	drerio_gene_ensembl	54	May.2009	danRer7	Zebrafish	Danio rerio
Danio rerio (Zebrafish)	Dec.2014v78	Zv9	drerio_gene_ensembl	78	Dec.2014	danRer6	Zebrafish	Danio rerio
Dasypus novemcinctus (Armadillo)	Dec.2011v65	ARMA	dnovemcinctus_gene_ensembl	65	Dec.2011	dasNov3	Armadillo	Dasypus novemcinctus
Dasypus novemcinctus (Armadillo)	Feb.2012v66	dasNov2	dnovemcinctus_gene_ensembl	66	Feb.2012	dasNov2	Armadillo	Dasypus novemcinctus
Dasypus novemcinctus (Armadillo)	Dec.2014v78	Dasnov3.0	dnovemcinctus_gene_ensembl	78	Dec.2014	dasNov3	Armadillo	Dasypus novemcinctus
Dipodomys ordii (Kangaroo rat)	Dec.2014v78	dipOrd1	dordii_gene_ensembl	78	Dec.2014	dipOrd1	Kangaroo rat	Dipodomys ordii
Drosophila melanogaster (Fly)	Dec.2014v78	BDGP5	dmelanogaster_gene_ensembl	78	Dec.2014	dm3	Fly	Drosophila melanogaster
Echinops telfairi (Tenrec)	Dec.2014v78	TENREC	etelfairi_gene_ensembl	78	Dec.2014	echTel2	Tenrec	Echinops telfairi
Equus caballus (Horse)	Dec.2014v78	EquCab2	ecaballus_gene_ensembl	78	Dec.2014	equCab2	Horse	Equus caballus
Erinaceus europaeus (Hedgehog)	Dec.2014v78	eriEur1	eeuropaeus_gene_ensembl	78	Dec.2014	eriEur1	Hedgehog	Erinaceus europaeus
Felis catus (Cat)	Dec.2014v78	Felis_catus_6.2	fcatus_gene_ensembl	78	Dec.2014	felCat5	Cat	Felis catus
Ficedula albicollis (Collared flycatcher)	Dec.2014v78	FicAlb_1.4	falbicollis_gene_ensembl	78	Dec.2014	ficAlb1	Collared flycatcher	Ficedula albicollis
Gadus morhua (Cod)	Dec.2014v78	gadMor1	gmorhua_gene_ensembl	78	Dec.2014	gadMor1	Cod	Gadus morhua
Gallus gallus (Chicken)	Feb.2012v66	WASHUC2	ggallus_gene_ensembl	66	Feb.2012	galGal3	Chicken	Gallus gallus
Gallus gallus (Chicken)	Dec.2014v78	Galgal4	ggallus_gene_ensembl	78	Dec.2014	galGal4	Chicken	Gallus gallus
Gasterosteus aculeatus (Stickleback)	Dec.2014v78	BROADS1	gaculeatus_gene_ensembl	78	Dec.2014	gasAcu1	Stickleback	Gasterosteus aculeatus
Gorilla gorilla (Gorilla)	May.2009v54	gorGor1	ggorilla_gene_ensembl	54	May.2009	gorGor1	Gorilla	Gorilla gorilla
Gorilla gorilla (Gorilla)	Dec.2014v78	gorGor3.1	ggorilla_gene_ensembl	78	Dec.2014	gorGor3	Gorilla	Gorilla gorilla
Homo sapiens (Human)	May.2009v54	NCBI36	hsapiens_gene_ensembl	54	May.2009	hg18	Human	Homo sapiens
Homo sapiens (Human)	Feb.2014v75	GRCh37.p13	hsapiens_gene_ensembl	75	Feb.2014	hg19	Human	Homo sapiens
Homo sapiens (Human)	Dec.2014v78	GRCh38	hsapiens_gene_ensembl	78	Dec.2014	hg38	Human	Homo sapiens
Ictidomys tridecemlineatus (Squirrel)	May.2009v54	speTri1	stridecemlineatus_gene_ensembl	54	May.2009	speTri1	Squirrel	Ictidomys tridecemlineatus
Ictidomys tridecemlineatus (Squirrel)	Dec.2014v78	spetri2	itridecemlineatus_gene_ensembl	78	Dec.2014	speTri2	Squirrel	Ictidomys tridecemlineatus
Latimeria chalumnae (Coelacanth)	Dec.2014v78	LatCha1	lchalumnae_gene_ensembl	78	Dec.2014	latCha1	Coelacanth	Latimeria chalumnae
Lepisosteus oculatus (Spotted gar)	Dec.2014v78	LepOcu1	loculatus_gene_ensembl	78	Dec.2014	lepOcu1	Spotted gar	Lepisosteus oculatus
Loxodonta africana (Elephant)	May.2009v54	loxAfr2	lafricana_gene_ensembl	54	May.2009	loxAfr2	Elephant	Loxodonta africana
Loxodonta africana (Elephant)	Dec.2014v78	Loxafr3.0	lafricana_gene_ensembl	78	Dec.2014	loxAfr3	Elephant	Loxodonta africana
Macaca mulatta (Macaque)	Dec.2014v78	MMUL1.0	mmulatta_gene_ensembl	78	Dec.2014	mMul1	Macaque	Macaca mulatta
Macropus eugenii (Wallaby)	Dec.2014v78	Meug_1.0	meugenii_gene_ensembl	78	Dec.2014	macEug2	Wallaby	Macropus eugenii
Meleagris gallopavo (Turkey)	Dec.2014v78	Turkey_2.01	mgallopavo_gene_ensembl	78	Dec.2014	melGa1	Turkey	Meleagris gallopavo
Microcebus murinus (Mouse lemur)	Dec.2014v78	micMur1	mmurinus_gene_ensembl	78	Dec.2014	micMur1	Mouse lemur	Microcebus murinus
Monodelphis domestica (Opossum)	Dec.2014v78	monDom5	mdomestica_gene_ensembl	78	Dec.2014	monDom5	Opossum	Monodelphis domestica
Mus musculus (Mouse)	Feb.2012v66	NCBIM37	mmusculus_gene_ensembl	66	Feb.2012	mm9	Mouse	Mus musculus
Mus musculus (Mouse)	Dec.2014v78	GRCm38.p3	mmusculus_gene_ensembl	78	Dec.2014	mm10	Mouse	Mus musculus
Mustela putorius furo (Domestic ferret)	Dec.2014v78	MusPutFur1.0	mfuro_gene_ensembl	78	Dec.2014	musFur1	Domestic ferret	Mustela putorius furo
Myotis lucifugus (Microbat)	May.2009v54	myoLuc1	mlucifugus_gene_ensembl	54	May.2009	myoLuc1	Microbat	Myotis lucifugus
Myotis lucifugus (Microbat)	Dec.2014v78	Myoluc2.0	mlucifugus_gene_ensembl	78	Dec.2014	myoLuc2	Microbat	Myotis lucifugus
Nomascus leucogenys (Gibbon)	Dec.2014v78	Nleu1.0	nleucogenys_gene_ensembl	78	Dec.2014	nomLeu1	Gibbon	Nomascus leucogenys
Ochotona princeps (Pika)	Dec.2014v78	OchPri2.0	oprinceps_gene_ensembl	78	Dec.2014	ochPri2	Pika	Ochotona princeps
Ornithorhynchus anatinus (Platypus)	Dec.2014v78	OANA5	oanatinus_gene_ensembl	78	Dec.2014	ornAna1	Platypus	Ornithorhynchus anatinus
Oryctolagus cuniculus (Rabbit)	May.2009v54	RABBIT	ocuniculus_gene_ensembl	54	May.2009	oryCun1	Rabbit	Oryctolagus cuniculus
Oryctolagus cuniculus (Rabbit)	Dec.2014v78	OryCun2.0	ocuniculus_gene_ensembl	78	Dec.2014	oryCun2	Rabbit	Oryctolagus cuniculus
Oryzias latipes (Medaka)	Dec.2014v78	HdrR	olatipes_gene_ensembl	78	Dec.2014	oryLat2	Medaka	Oryzias latipes
Otolemur garnettii (Bushbaby)	May.2009v54	otoGar1	ogarnettii_gene_ensembl	54	May.2009	otoGar1	Bushbaby	Otolemur garnettii
Otolemur garnettii (Bushbaby)	Dec.2014v78	OtoGar3	ogarnettii_gene_ensembl	78	Dec.2014	otoGar3	Bushbaby	Otolemur garnettii
Ovis aries (Sheep)	Dec.2014v78	Oar_v3.1	oaries_gene_ensembl	78	Dec.2014	oviAri3	Sheep	Ovis aries
Pan troglodytes (Chimp)	May.2009v54	CHIMP2.1	ptroglodytes_gene_ensembl	54	May.2009	panTro2	Chimp	Pan troglodytes
Pan troglodytes (Chimp)	Dec.2014v78	CHIMP2.1.4	ptroglodytes_gene_ensembl	78	Dec.2014	panTro4	Chimp	Pan troglodytes
Papio anubis (Olive Baboon)	Dec.2014v78	PapAnu2.0	panubis_gene_ensembl	78	Dec.2014	papAnu2	Olive Baboon	Papio anubis
Pelodiscus sinensis (Chinese softshell turtle)	Dec.2014v78	PelSin_1.0	psinensis_gene_ensembl	78	Dec.2014	pelSin1	Chinese softshell turtle	Pelodiscus sinensis
Petromyzon marinus (Lamprey)	Dec.2014v78	Pmarinus_7.0	pmarinus_gene_ensembl	78	Dec.2014	petMar2	Lamprey	Petromyzon marinus
Poecilia formosa (Amazon molly)	Dec.2014v78	Poecilia_formosa-5.1.2	pformosa_gene_ensembl	78	Dec.2014	poeFor1	Amazon molly	Poecilia formosa
Pongo abelii (Orangutan)	Dec.2014v78	PPYG2	pabelii_gene_ensembl	78	Dec.2014	ponAbe2	Orangutan	Pongo abelii
Procavia capensis (Rock hyrax)	Dec.2014v78	proCap1	pcapensis_gene_ensembl	78	Dec.2014	proCap1	Rock hyrax	Procavia capensis
Pteropus vampyrus (Megabat)	Dec.2014v78	pteVam1	pvampyrus_gene_ensembl	78	Dec.2014	pteVam1	Megabat	Pteropus vampyrus
