species	value	dataset	ucscId	speciesShort	speciesLong	date	version
Ailuropoda melanoleuca (Panda)	ailMel1	amelanoleuca_gene_ensembl	ailMel1	Panda	Ailuropoda melanoleuca 	head	NA
Anas platyrhynchos (Duck)	BGI_duck_1.0	aplatyrhynchos_gene_ensembl	anaPlat1	Duck	Anas platyrhynchos 	head	NA
Anolis carolinensis (Anole lizard)	AnoCar2.0	acarolinensis_gene_ensembl	anoCar2	Anole lizard	Anolis carolinensis 	head	NA
Astyanax mexicanus (Cave fish)	AstMex102	amexicanus_gene_ensembl	astMex1	Cave fish	Astyanax mexicanus 	head	NA
Bos taurus (Cow)	UMD3.1	btaurus_gene_ensembl	bosTau8	Cow	Bos taurus 	head	NA
Caenorhabditis elegans	WBcel235	celegans_gene_ensembl	ce11	Caenorhabditis elegans	Caenorhabditis elegans	head	NA
Callithrix jacchus (Marmoset)	C_jacchus3.2.1	cjacchus_gene_ensembl	calJac3	Marmoset	Callithrix jacchus 	head	NA
Canis familiaris (Dog)	CanFam3.1	cfamiliaris_gene_ensembl	canFam3	Dog	Canis familiaris 	head	NA
Cavia porcellus (Guinea Pig)	cavPor3	cporcellus_gene_ensembl	cavPor3	Guinea Pig	Cavia porcellus 	head	NA
Chlorocebus sabaeus (Vervet-AGM)	ChlSab1.1	csabaeus_gene_ensembl	chlSab1	Vervet-AGM	Chlorocebus sabaeus 	head	NA
Choloepus hoffmanni (Sloth)	choHof1	choffmanni_gene_ensembl	choHof1	Sloth	Choloepus hoffmanni 	head	NA
Ciona intestinalis	KH	cintestinalis_gene_ensembl	ci2	Ciona intestinalis	Ciona intestinalis	head	NA
Ciona savignyi	CSAV2.0	csavignyi_gene_ensembl	cioSav2	Ciona savignyi	Ciona savignyi	head	NA
Danio rerio (Zebrafish)	GRCz10	drerio_gene_ensembl	danRer10	Zebrafish	Danio rerio 	head	NA
Dasypus novemcinctus (Armadillo)	Dasnov3.0	dnovemcinctus_gene_ensembl	dasNov3	Armadillo	Dasypus novemcinctus 	head	NA
Dipodomys ordii (Kangaroo rat)	dipOrd1	dordii_gene_ensembl	dipOrd1	Kangaroo rat	Dipodomys ordii 	head	NA
Drosophila melanogaster (Fly)	BDGP6	dmelanogaster_gene_ensembl	dm6	Fly	Drosophila melanogaster 	head	NA
Echinops telfairi (Tenrec)	TENREC	etelfairi_gene_ensembl	echTel2	Tenrec	Echinops telfairi 	head	NA
Equus caballus (Horse)	EquCab2	ecaballus_gene_ensembl	equCab2	Horse	Equus caballus 	head	NA
Erinaceus europaeus (Hedgehog)	eriEur1	eeuropaeus_gene_ensembl	eriEur1	Hedgehog	Erinaceus europaeus 	head	NA
Felis catus (Cat)	Felis_catus_6.2	fcatus_gene_ensembl	felCat5	Cat	Felis catus 	head	NA
Ficedula albicollis (Collared flycatcher)	FicAlb_1.4	falbicollis_gene_ensembl	ficAlb1	Collared flycatcher	Ficedula albicollis 	head	NA
Gadus morhua (Cod)	gadMor1	gmorhua_gene_ensembl	gadMor1	Cod	Gadus morhua 	head	NA
Gallus gallus (Chicken)	Galgal4	ggallus_gene_ensembl	galGal4	Chicken	Gallus gallus 	head	NA
Gasterosteus aculeatus (Stickleback)	BROADS1	gaculeatus_gene_ensembl	gasAcu1	Stickleback	Gasterosteus aculeatus 	head	NA
Gorilla gorilla (Gorilla)	gorGor3.1	ggorilla_gene_ensembl	gorGor3	Gorilla	Gorilla gorilla 	head	NA
Homo sapiens (Human)	GRCh38.p5	hsapiens_gene_ensembl	hg38	Human	Homo sapiens 	head	NA
Ictidomys tridecemlineatus (Squirrel)	spetri2	itridecemlineatus_gene_ensembl	speTri2	Squirrel	Ictidomys tridecemlineatus 	head	NA
Latimeria chalumnae (Coelacanth)	LatCha1	lchalumnae_gene_ensembl	latCha1	Coelacanth	Latimeria chalumnae 	head	NA
Lepisosteus oculatus (Spotted gar)	LepOcu1	loculatus_gene_ensembl	lepOcu1	Spotted gar	Lepisosteus oculatus 	head	NA
Loxodonta africana (Elephant)	loxAfr3	lafricana_gene_ensembl	loxAfr3	Elephant	Loxodonta africana 	head	NA
Macaca mulatta (Macaque)	MMUL_1	mmulatta_gene_ensembl	mMul1	Macaque	Macaca mulatta 	head	NA
Macropus eugenii (Wallaby)	Meug_1.0	meugenii_gene_ensembl	macEug2	Wallaby	Macropus eugenii 	head	NA
Meleagris gallopavo (Turkey)	UMD2	mgallopavo_gene_ensembl	melGa1	Turkey	Meleagris gallopavo 	head	NA
Microcebus murinus (Mouse lemur)	micMur1	mmurinus_gene_ensembl	micMur1	Mouse lemur	Microcebus murinus 	head	NA
Monodelphis domestica (Opossum)	monDom5	mdomestica_gene_ensembl	monDom5	Opossum	Monodelphis domestica 	head	NA
Mus musculus (Mouse)	GRCm38.p4	mmusculus_gene_ensembl	mm10	Mouse	Mus musculus 	head	NA
Mustela putorius furo (Domestic ferret)	MusPutFur1.0	mfuro_gene_ensembl	musFur1	Domestic ferret	Mustela putorius furo 	head	NA
Myotis lucifugus (Microbat)	myoLuc2	mlucifugus_gene_ensembl	myoLuc2	Microbat	Myotis lucifugus 	head	NA
Nomascus leucogenys (Gibbon)	Nleu1.0	nleucogenys_gene_ensembl	nomLeu1	Gibbon	Nomascus leucogenys 	head	NA
Ochotona princeps (Pika)	OchPri2.0	oprinceps_gene_ensembl	ochPri2	Pika	Ochotona princeps 	head	NA
Ornithorhynchus anatinus (Platypus)	OANA5	oanatinus_gene_ensembl	ornAna1	Platypus	Ornithorhynchus anatinus 	head	NA
Oryctolagus cuniculus (Rabbit)	OryCun2.0	ocuniculus_gene_ensembl	oryCun2	Rabbit	Oryctolagus cuniculus 	head	NA
Oryzias latipes (Medaka)	HdrR	olatipes_gene_ensembl	oryLat2	Medaka	Oryzias latipes 	head	NA
Otolemur garnettii (Bushbaby)	OtoGar3	ogarnettii_gene_ensembl	otoGar3	Bushbaby	Otolemur garnettii 	head	NA
Ovis aries (Sheep)	Oar_v3.1	oaries_gene_ensembl	oviAri3	Sheep	Ovis aries 	head	NA
Pan troglodytes (Chimp)	CHIMP2.1.4	ptroglodytes_gene_ensembl	panTro4	Chimp	Pan troglodytes 	head	NA
Papio anubis (Olive Baboon)	PapAnu2.0	panubis_gene_ensembl	papAnu2	Olive Baboon	Papio anubis 	head	NA
Pelodiscus sinensis (Chinese softshell turtle)	PelSin_1.0	psinensis_gene_ensembl	pelSin1	Chinese softshell turtle	Pelodiscus sinensis 	head	NA
Petromyzon marinus (Lamprey)	Pmarinus_7.0	pmarinus_gene_ensembl	petMar2	Lamprey	Petromyzon marinus 	head	NA
Poecilia formosa (Amazon molly)	PoeFor_5.1.2	pformosa_gene_ensembl	poeFor1	Amazon molly	Poecilia formosa 	head	NA
Pongo abelii (Orangutan)	PPYG2	pabelii_gene_ensembl	ponAbe2	Orangutan	Pongo abelii 	head	NA
Procavia capensis (Rock hyrax)	proCap1	pcapensis_gene_ensembl	proCap1	Rock hyrax	Procavia capensis 	head	NA
Pteropus vampyrus (Megabat)	pteVam1	pvampyrus_gene_ensembl	pteVam1	Megabat	Pteropus vampyrus 	head	NA
Rattus norvegicus (Rat)	Rnor_6.0	rnorvegicus_gene_ensembl	rn6	Rat	Rattus norvegicus 	head	NA
Saccharomyces cerevisiae	R64-1-1	scerevisiae_gene_ensembl	sacCer3	Saccharomyces cerevisiae	Saccharomyces cerevisiae	head	NA
Sarcophilus harrisii (Tasmanian Devil)	DEVIL7.0	sharrisii_gene_ensembl	sarHar1	Tasmanian Devil	Sarcophilus harrisii 	head	NA
Sorex araneus (Shrew)	sorAra1	saraneus_gene_ensembl	sorAra1	Shrew	Sorex araneus 	head	NA
Sus scrofa (Pig)	Sscrofa10.2	sscrofa_gene_ensembl	susScr3	Pig	Sus scrofa 	head	NA
Taeniopygia guttata (Zebra finch)	taeGut3.2.4	tguttata_gene_ensembl	taeGut2	Zebra finch	Taeniopygia guttata 	head	NA
Takifugu rubripes (Fugu)	FUGU4.0	trubripes_gene_ensembl	fr2	Fugu	Takifugu rubripes 	head	NA
Tarsius syrichta (Tarsier)	tarSyr1	tsyrichta_gene_ensembl	tarSyr1	Tarsier	Tarsius syrichta 	head	NA
Tetraodon nigroviridis (Tetraodon)	TETRAODON8.0	tnigroviridis_gene_ensembl	tetNig2	Tetraodon	Tetraodon nigroviridis 	head	NA
Tupaia belangeri (Tree Shrew)	tupBel1	tbelangeri_gene_ensembl	tupBel1	Tree Shrew	Tupaia belangeri 	head	NA
Tursiops truncatus (Dolphin)	turTru1	ttruncatus_gene_ensembl	turTru1	Dolphin	Tursiops truncatus 	head	NA
Vicugna pacos (Alpaca)	vicPac1	vpacos_gene_ensembl	vicPac1	Alpaca	Vicugna pacos 	head	NA
Xenopus tropicalis (Xenopus)	JGI4.2	xtropicalis_gene_ensembl	xenTro3	Xenopus	Xenopus tropicalis 	head	NA
Xiphophorus maculatus (Platyfish)	Xipmac4.4.2	xmaculatus_gene_ensembl	xipMac1	Platyfish	Xiphophorus maculatus 	head	NA
