name	description	organism	scientificName	sourceName	taxId	orderKey
anoGam3	Oct. 2006 (AgamP3/anoGam3)	A. gambiae	Anopheles gambiae	The International Consortium for the Sequencing of Anopheles Genome	180454	1009
anoGam1	Feb. 2003 (IAGEC MOZ2/anoGam1)	A. gambiae	Anopheles gambiae	IAGEC v.MOZ2	7165	1010
apiMel2	Jan. 2005 (Baylor 2.0/apiMel2)	A. mellifera	Apis mellifera	Baylor HGSC Amel_2.0	7460	1052
apiMel1	July 2004 (Baylor 1.2/apiMel1)	A. mellifera	Apis mellifera	Baylor HGSC Amel_1.2	7460	1053
xenLae2	Aug. 2016 (Xenopus_laevis_v2/xenLae2)	African clawed frog	Xenopus laevis	International Xenopus Sequencing Consortium	8355	1225
vicPac2	Mar. 2013 (Vicugna_pacos-2.0.1/vicPac2)	Alpaca	Vicugna pacos	Broad Institute	30538	1350
vicPac1	Jul. 2008 (Broad/vicPac1)	Alpaca	Vicugna pacos	Broad Institute vicPac1	30538	1351
allMis1	Aug. 2012 (allMis0.2/allMis1)	American alligator	Alligator mississippiensis	International Crocodilian Genomes Working Group	8496	1425
dasNov3	Dec. 2011 (Baylor/dasNov3)	Armadillo	Dasypus novemcinctus	Baylor College of Medicine Dasnov3.0 (GCA_000208655.2)	9361	1725
gadMor1	May 2010 (Genofisk GadMor_May2010/gadMor1)	Atlantic cod	Gadus morhua	Genofisk GadMor_May2010 (GCA_000231765.1)	8049	1840
papAnu4	Apr. 2017 (Panu_3.0/papAnu4)	Baboon	Papio anubis	Human Genome Sequencing Center	9555	2048
papAnu2	Mar. 2012 (Baylor Panu_2.0/papAnu2)	Baboon	Papio anubis	Baylor College of Medicine	9555	2050
papHam1	Nov. 2008 (Baylor Pham_1.0/papHam1)	Baboon	Papio hamadryas	Baylor BCM HGSC Pham_1.0	9562	2051
bisBis1	Oct. 2014 (Bison_UMD1.0/bisBis1)	Bison	Bison bison bison	U. Maryland	43346	2325
panPan3	May 2020 (Mhudiblu_PPA_v0/panPan3)	Bonobo	Pan paniscus	University of Washington	9597	2623
panPan2	Aug. 2015 (MPI-EVA panpan1.1/panPan2)	Bonobo	Pan paniscus	Max-Planck Institute for Evolutionary Anthropology	9597	2624
panPan1	May 2012 (Max-Planck/panPan1)	Bonobo	Pan paniscus	Max-Planck Institute panpan1 (GCA_000258655.1)	9597	2625
